TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,R_death_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,ICU Beds_x,Total Population,Population Aged 60+,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code
29970,2989,9.97330664,3755,12.52919586,3531,11.78178178,2910,9.70970971,3534,11.79179179,4206,14.03403403,4272,14.25425425,3323,11.08775442,1450,4.838171505,28503,95.10510511,613,2.045378712,171,0.570570571,182,0.607273941,25,0.08341675,476,1.588254922,10.0,14.9,31.6,32.1,21.4,14.1,23.1,21.3,51579,46808,56350,3.0,51579,88.0,0,28509,7553,44.3,41.8,46.6,28.1,26.3,29.9,8.8,7.8,9.8,9.8,8.2,11.5,13.1,11.9,14.2,3.5,3.2,3.8,6
104062,14094,13.54384886,15540,14.93340509,14190,13.63610155,13285,12.76642771,13481,12.95477696,13279,12.76066191,10197,9.798966001,6563,6.30681709,3433,3.29899483,94387,90.70265803,4539,4.36182276,1498,1.439526436,1651,1.58655417,228,0.219100152,1759,1.690338452,8.0,30.6,28.9,24.7,15.7,14.2,19.5,17.4,47074,43805,50343,4.7,47074,80.3,34,103963,18625,45.1,43.3,46.9,31.7,30.4,32.9,8.2,7.4,9.0,9.5,8.2,10.9,14.0,13.1,15.0,3.4,3.2,3.7,4
8812,933,10.58783477,921,10.45165683,1256,14.25329097,1273,14.44620971,1208,13.70857921,1108,12.57376305,985,11.17793917,719,8.159328189,409,4.641398094,5511,62.53971857,3071,34.85020427,28,0.317748525,66,0.748978666,1,0.011348162,135,1.532001816,12.0,17.7,48.4,22.5,11.4,30.8,35.3,33.3,35961,32086,39836,5.2,35961,61.3,0,8896,1960,51.3,49.5,53.0,37.1,35.7,38.4,9.1,8.4,9.8,10.0,9.0,11.1,15.7,14.8,16.4,3.8,3.6,4.0,6
9876,1109,11.22924261,1201,12.16079384,1059,10.72296476,988,10.00405022,1063,10.76346699,1407,14.24665857,1376,13.9327663,1062,10.75334143,611,6.186715269,5465,55.33616849,4090,41.41352774,24,0.243013366,85,0.860672337,2,0.020251114,210,2.12636695,14.2,19.5,44.8,23.1,12.6,20.3,32.3,30.4,39361,35179,43543,4.6,39361,67.1,0,9905,2863,53.4,51.7,54.9,38.0,36.7,39.4,11.0,10.1,11.8,12.1,10.8,13.4,19.3,18.3,20.3,4.8,4.5,5.1,6
9036,1081,11.96325808,1175,13.00354139,985,10.90084108,1038,11.4873838,957,10.59096946,1327,14.68570164,1245,13.77822045,793,8.776007083,435,4.814077025,5324,58.91987605,3468,38.37981408,47,0.520141656,41,0.453740593,2,0.022133687,154,1.704293935,14.2,15.5,52.3,21.6,10.6,23.3,39.3,38.7,41036,36536,45536,4.4,41036,70.0,0,9147,2285,51.6,49.8,53.3,36.5,35.1,37.8,9.9,9.2,10.6,11.2,10.0,12.3,17.6,16.7,18.5,4.3,4.0,4.5,6
20299,2435,11.99566481,2532,12.47352086,2443,12.03507562,2283,11.24685945,2367,11.66067294,2949,14.52780925,2664,13.1237992,1826,8.995517021,800,3.941080841,14106,69.49110794,5724,28.19843342,73,0.359623627,136,0.669983743,14,0.068968915,246,1.211882359,11.4,18.7,41.8,29.1,10.4,20.5,33.6,34.1,48708,45569,51847,4.4,48708,83.1,0,20809,5131,46.1,44.3,47.8,32.9,31.6,34.3,9.1,8.4,9.9,10.6,9.4,11.9,15.5,14.6,16.4,3.9,3.6,4.1,4
200983,24511,12.19555883,23156,11.52137245,21808,10.85066896,24757,12.31795724,22960,11.42385177,25710,12.7921267,31660,15.75257609,17398,8.656453531,9023,4.48943443,68648,34.15612266,1631,0.811511421,1134,0.564226825,42587,21.18935432,26077,12.97472921,60906,30.30405557,10.1,7.6,30.4,32.5,29.5,15.6,22.5,20.0,56383,51986,60780,3.0,56383,70.0,24,196325,52582,38.0,36.8,39.1,25.4,24.6,26.1,7.8,7.4,8.3,6.6,5.9,7.2,12.2,11.6,12.8,3.4,3.3,3.6,5
980080,120970,12.34286997,108421,11.06246429,147222,15.02142682,138752,14.15721166,116349,11.87137785,117704,12.00963187,107871,11.00634642,72320,7.37898947,50471,5.149681659,212694,21.70169782,27758,2.832217778,3210,0.327524284,420967,42.95231002,94079,9.599114358,221372,22.58713574,8.7,8.3,26.2,31.1,34.3,7.7,9.8,9.1,83695,81839,85551,2.3,83695,103.9,148,990060,218287,35.3,34.1,36.5,24.1,23.4,24.8,5.9,5.5,6.3,4.4,4.0,4.8,12.3,11.6,13.1,2.9,2.7,3.0,3
88,0,0.0,0,0.0,0,0.0,11,12.5,9,10.22727273,18,20.45454545,24,27.27272727,6,6.818181818,20,22.72727273,24,27.27272727,0,0.0,0,0.0,7,7.954545455,43,48.86363636,14,15.90909091,0.0,13.0,27.5,34.8,24.6,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,86,27,46.1,43.4,48.4,28.2,26.7,29.7,11.5,10.2,13.1,8.3,6.9,9.9,15.3,13.8,16.8,5.3,4.7,6.0,4
72133,8896,12.33277418,8198,11.36511721,7835,10.86188014,9282,12.8678968,8660,12.00560077,9469,13.12714014,10374,14.38176701,6040,8.373421319,3379,4.684402423,23821,33.02372007,477,0.661278472,349,0.483828484,22389,31.03849833,6652,9.221854075,18445,25.57082057,9.5,8.2,30.1,32.2,29.5,8.5,11.9,10.4,73981,69649,78313,2.5,73981,91.9,9,71093,18043,34.4,33.3,35.5,22.7,22.0,23.4,6.7,6.3,7.1,5.4,4.9,6.0,11.0,10.4,11.6,3.1,3.0,3.3,5
